evolution$generation,evolution$evaluated,unemploymentShare,workPermitShare,perceivedInformalityCoef,jobSimilarityHierarchy,socialNetworkCoef,socialNetworkHierarchy,socialNetworkMode,informalityError,unemploymentError,evolution$samples,workPermitShare,socialNetworkHierarchy,unemploymentShare,iterations,unemploymentError,perceivedInformalityCoef,jobsNumber,socialNetworkMode,informalityError,replication,jobSimilarityHierarchy,socialNetworkCoef,workersNumber,jobSeekingNumber
3700,3700,0.719853664950718,0.9,8.246469816560886,0.0,8.383601427813748,2.10929590603717,proximity,0.13148359535927476,0.49701195219123473,18,"[0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9]","[2.10929590603717,2.10929590603717,2.10929590603717,2.10929590603717,2.10929590603717,2.10929590603717,2.10929590603717,2.10929590603717,2.10929590603717,2.10929590603717,2.10929590603717,2.10929590603717,2.10929590603717,2.10929590603717,2.10929590603717,2.10929590603717,2.10929590603717,2.10929590603717]","[0.719853664950718,0.719853664950718,0.719853664950718,0.719853664950718,0.719853664950718,0.719853664950718,0.719853664950718,0.719853664950718,0.719853664950718,0.719853664950718,0.719853664950718,0.719853664950718,0.719853664950718,0.719853664950718,0.719853664950718,0.719853664950718,0.719853664950718,0.719853664950718]","[500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500]","[0.4954780876494016,0.49595617529880454,0.4997410358565728,0.4963944223107569,0.4971115537848596,0.4946414342629474,0.4953585657370513,0.4958764940239041,0.49691235059760985,0.4975498007968121,0.49790836653386417,0.4961553784860553,0.49388446215139403,0.4976294820717123,0.5003784860557758,0.49794820717131416,0.4979880478087646,0.4971912350597609]","[8.246469816560886,8.246469816560886,8.246469816560886,8.246469816560886,8.246469816560886,8.246469816560886,8.246469816560886,8.246469816560886,8.246469816560886,8.246469816560886,8.246469816560886,8.246469816560886,8.246469816560886,8.246469816560886,8.246469816560886,8.246469816560886,8.246469816560886,8.246469816560886]","[200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200]","[proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity]","[0.03815739576144023,0.03237223099091724,0.0352788195058098,0.08668189604642618,0.08386442048848586,0.13317975082532063,0.03280812977869951,0.18637142251394712,0.03528631543879496,0.13043468248462153,0.2860982548370278,0.19000756838677446,0.14112695634416217,0.24072236627410382,0.18409571694236437,0.1891221936534182,0.012422941057061876,0.13253250823392798]","[6558259141944029200,-6519827706492207979,-1787697020924318806,-7127910982678857535,-5689514348135041395,-3053758476054515636,-275996891985298482,-4449451638746570631,3813291251216364378,-6426296163448277232,7608543416564461028,2290963159697502072,3683558055562456249,-1805579144129763790,4778241702977872812,-612363273162309800,-8561279614877221157,7066473579900055901]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[8.383601427813748,8.383601427813748,8.383601427813748,8.383601427813748,8.383601427813748,8.383601427813748,8.383601427813748,8.383601427813748,8.383601427813748,8.383601427813748,8.383601427813748,8.383601427813748,8.383601427813748,8.383601427813748,8.383601427813748,8.383601427813748,8.383601427813748,8.383601427813748]","[100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100]","[20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20]"
3700,3700,0.25625266850575434,0.9,4.94888288502333,0.0,-1.046621418043161,3.739582846308733,random,0.11870564329577032,2.191235059760266E-4,1,"[0.9]","[3.739582846308733]","[0.25625266850575434]","[500]","[2.191235059760266E-4]","[4.94888288502333]","[200]","[random]","[0.11870564329577032]","[2919686095097016845]","[0.0]","[-1.046621418043161]","[100]","[20]"
3700,3700,0.2564063201293351,0.1,9.537576285751005,5.0,-2.091727562817498,4.904904594497443,proximity,5.1327957296176674E-5,0.014043824701195112,1,"[0.1]","[4.904904594497443]","[0.2564063201293351]","[500]","[0.014043824701195112]","[9.537576285751005]","[200]","[proximity]","[5.1327957296176674E-5]","[-3045629326490814382]","[5.0]","[-2.091727562817498]","[100]","[20]"
3700,3700,0.41912625810483517,0.9,3.3675531212050576,0.0,-8.364626421772655,0.4300289802799259,proximity,0.1487253468865385,0.298406374501992,22,"[0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9]","[0.4300289802799259,0.4300289802799259,0.4300289802799259,0.4300289802799259,0.4300289802799259,0.4300289802799259,0.4300289802799259,0.4300289802799259,0.4300289802799259,0.4300289802799259,0.4300289802799259,0.4300289802799259,0.4300289802799259,0.4300289802799259,0.4300289802799259,0.4300289802799259,0.4300289802799259,0.4300289802799259,0.4300289802799259,0.4300289802799259,0.4300289802799259,0.4300289802799259]","[0.41912625810483517,0.41912625810483517,0.41912625810483517,0.41912625810483517,0.41912625810483517,0.41912625810483517,0.41912625810483517,0.41912625810483517,0.41912625810483517,0.41912625810483517,0.41912625810483517,0.41912625810483517,0.41912625810483517,0.41912625810483517,0.41912625810483517,0.41912625810483517,0.41912625810483517,0.41912625810483517,0.41912625810483517,0.41912625810483517,0.41912625810483517,0.41912625810483517]","[500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500]","[0.2918525896414341,0.29217131474103575,0.2940836653386453,0.2983466135458165,0.3020119521912352,0.30332669322709127,0.3085059760956179,0.2922908366533863,0.29197211155378455,0.3009760956175296,0.2981872509960164,0.2986254980079681,0.30336653386454193,0.30416334661354616,0.2958366533864545,0.2986254980079678,0.2966733067729085,0.29480079681274884,0.3029681274900399,0.29846613545816747,0.2933665338645418,0.3039243027888445]","[3.3675531212050576,3.3675531212050576,3.3675531212050576,3.3675531212050576,3.3675531212050576,3.3675531212050576,3.3675531212050576,3.3675531212050576,3.3675531212050576,3.3675531212050576,3.3675531212050576,3.3675531212050576,3.3675531212050576,3.3675531212050576,3.3675531212050576,3.3675531212050576,3.3675531212050576,3.3675531212050576,3.3675531212050576,3.3675531212050576,3.3675531212050576,3.3675531212050576]","[200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200]","[proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity]","[0.1128080516709069,0.13572571001387662,0.13491281660764454,0.17111032602260823,0.1256178017413972,0.18806332119669966,0.1785682846361043,0.11417336277808571,0.13790253874411018,0.13118888494355307,0.15896113615474805,0.17987764709184084,0.14418982752219978,0.19270179325598158,0.21667515700656137,0.1532608662508772,0.230246846188076,0.09828193755180048,0.11013331286051503,0.22424174183603585,0.11448533165852154,0.16934969327938632]","[3827886421301108980,-4622378830215235879,3980903804233005783,2305475759991532726,587663889404080770,-5615494552346382267,994762568036557549,-7902591670271988115,6730877132790707334,-407260817912876519,-2850609784021437922,-3525331124662750568,-2249148691293656595,-6718739143823544292,-377285329587882292,3847570592867792835,-7735168876428674745,-1079913921763395064,-3426827083068817586,-2507996162647508862,-4725363492973697305,-1702068703897076473]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[-8.364626421772655,-8.364626421772655,-8.364626421772655,-8.364626421772655,-8.364626421772655,-8.364626421772655,-8.364626421772655,-8.364626421772655,-8.364626421772655,-8.364626421772655,-8.364626421772655,-8.364626421772655,-8.364626421772655,-8.364626421772655,-8.364626421772655,-8.364626421772655,-8.364626421772655,-8.364626421772655,-8.364626421772655,-8.364626421772655,-8.364626421772655,-8.364626421772655]","[100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100]","[20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20]"
3700,3700,0.2588125047768324,0.9,-0.6735245123064555,5.0,-3.1161503800077908,2.157506159119433,random,0.29652445855595555,0.0058764940239043745,14,"[0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9]","[2.157506159119433,2.157506159119433,2.157506159119433,2.157506159119433,2.157506159119433,2.157506159119433,2.157506159119433,2.157506159119433,2.157506159119433,2.157506159119433,2.157506159119433,2.157506159119433,2.157506159119433,2.157506159119433]","[0.2588125047768324,0.2588125047768324,0.2588125047768324,0.2588125047768324,0.2588125047768324,0.2588125047768324,0.2588125047768324,0.2588125047768324,0.2588125047768324,0.2588125047768324,0.2588125047768324,0.2588125047768324,0.2588125047768324,0.2588125047768324]","[500,500,500,500,500,500,500,500,500,500,500,500,500,500]","[0.007868525896414486,0.005478087649402386,0.009541832669322736,0.003087649402390369,0.0057569721115537376,0.005996015936255011,0.005318725099601629,0.007749003984063724,0.004521912350597651,0.007589641434262745,0.004561752988047674,0.002171314741035768,0.013486055776892325,0.020338645418326834]","[-0.6735245123064555,-0.6735245123064555,-0.6735245123064555,-0.6735245123064555,-0.6735245123064555,-0.6735245123064555,-0.6735245123064555,-0.6735245123064555,-0.6735245123064555,-0.6735245123064555,-0.6735245123064555,-0.6735245123064555,-0.6735245123064555,-0.6735245123064555]","[200,200,200,200,200,200,200,200,200,200,200,200,200,200]","[random,random,random,random,random,random,random,random,random,random,random,random,random,random]","[0.31725225088648923,0.2405869816421079,0.3144245095517585,0.3000447147432568,0.2717568166117975,0.2696981147093317,0.35292595000548177,0.287443372025736,0.2989733508092538,0.3033104080463309,0.2891720912050332,0.2590360683150018,0.29798087709497967,0.29506804001693143]","[5833160966617118163,-5302319606078327349,7011838574339274893,-3774577539715718859,1183234348550930010,-5300842965386613126,-2960032561264906777,848216715360904352,-8994889844097997010,8369756147228981019,7080916101576407377,7296052346499311972,8876785603602202122,-933259908572598544]","[5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0]","[-3.1161503800077908,-3.1161503800077908,-3.1161503800077908,-3.1161503800077908,-3.1161503800077908,-3.1161503800077908,-3.1161503800077908,-3.1161503800077908,-3.1161503800077908,-3.1161503800077908,-3.1161503800077908,-3.1161503800077908,-3.1161503800077908,-3.1161503800077908]","[100,100,100,100,100,100,100,100,100,100,100,100,100,100]","[20,20,20,20,20,20,20,20,20,20,20,20,20,20]"
3700,3700,0.34215208594280544,0.9,-5.02991422718287,0.0,-4.772804481136845,3.032138671244402,random,0.17834259783395157,0.1905577689243029,18,"[0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9]","[3.032138671244402,3.032138671244402,3.032138671244402,3.032138671244402,3.032138671244402,3.032138671244402,3.032138671244402,3.032138671244402,3.032138671244402,3.032138671244402,3.032138671244402,3.032138671244402,3.032138671244402,3.032138671244402,3.032138671244402,3.032138671244402,3.032138671244402,3.032138671244402]","[0.34215208594280544,0.34215208594280544,0.34215208594280544,0.34215208594280544,0.34215208594280544,0.34215208594280544,0.34215208594280544,0.34215208594280544,0.34215208594280544,0.34215208594280544,0.34215208594280544,0.34215208594280544,0.34215208594280544,0.34215208594280544,0.34215208594280544,0.34215208594280544,0.34215208594280544,0.34215208594280544]","[500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500]","[0.1832470119521916,0.19161354581673326,0.19802788844621536,0.18623505976095664,0.1830478087649405,0.19324701195219138,0.19340637450199236,0.18388446215139462,0.18591633466135457,0.19922310756972103,0.1885458167330675,0.18133466135458146,0.1873107569721115,0.1937250996015936,0.18950199203187254,0.1975896414342628,0.19934262948207174,0.20416334661354577]","[-5.02991422718287,-5.02991422718287,-5.02991422718287,-5.02991422718287,-5.02991422718287,-5.02991422718287,-5.02991422718287,-5.02991422718287,-5.02991422718287,-5.02991422718287,-5.02991422718287,-5.02991422718287,-5.02991422718287,-5.02991422718287,-5.02991422718287,-5.02991422718287,-5.02991422718287,-5.02991422718287]","[200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200]","[random,random,random,random,random,random,random,random,random,random,random,random,random,random,random,random,random,random]","[0.22166477275563623,0.23641035778892616,0.22151956406291406,0.18017044722630426,0.18053281758771922,0.16293716939783498,0.19416378462923667,0.11385803437473707,0.2050867930207393,0.1763625296433985,0.15790854013309996,0.14904107844723435,0.173556755362397,0.2714361626778763,0.17651474844159887,0.18696429525053648,0.15997113695807974,0.15258127061591253]","[-9035351394611480119,-8215120897407997190,5049433652761669036,3461651614253262829,8667111635007578737,-6403883944051033022,-3904694632100716107,7087686054275688097,5744812247997101579,5249431076225626889,1399838311950033898,8402597897048794408,-4913335745454953055,-8692462259888343728,-5558833755857574019,-7860862615725330625,-2729453624127053395,-165335739276577790]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[-4.772804481136845,-4.772804481136845,-4.772804481136845,-4.772804481136845,-4.772804481136845,-4.772804481136845,-4.772804481136845,-4.772804481136845,-4.772804481136845,-4.772804481136845,-4.772804481136845,-4.772804481136845,-4.772804481136845,-4.772804481136845,-4.772804481136845,-4.772804481136845,-4.772804481136845,-4.772804481136845]","[100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100]","[20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20]"
3700,3700,0.25878433021769787,0.1,0.36408626750530537,5.0,-2.7739693253372044,2.282599151764582,proximity,0.2200799295655017,0.0016135458167329808,7,"[0.1,0.1,0.1,0.1,0.1,0.1,0.1]","[2.282599151764582,2.282599151764582,2.282599151764582,2.282599151764582,2.282599151764582,2.282599151764582,2.282599151764582]","[0.25878433021769787,0.25878433021769787,0.25878433021769787,0.25878433021769787,0.25878433021769787,0.25878433021769787,0.25878433021769787]","[500,500,500,500,500,500,500]","[7.768924302788693E-4,0.0016135458167329808,0.010418326693227314,0.0015338645418326302,0.009023904382470138,5.776892430278957E-4,0.006314741035856691]","[0.36408626750530537,0.36408626750530537,0.36408626750530537,0.36408626750530537,0.36408626750530537,0.36408626750530537,0.36408626750530537]","[200,200,200,200,200,200,200]","[proximity,proximity,proximity,proximity,proximity,proximity,proximity]","[0.23593751179799982,0.2270630499915337,0.12614798956709022,0.21166003622572405,0.18089158287815366,0.25663268973176,0.2200799295655017]","[2189080462328872594,-5455014732208423344,1668254749954811251,-2259261484725656349,7711842750323010280,9155796752514988249,-7561009233423094040]","[5.0,5.0,5.0,5.0,5.0,5.0,5.0]","[-2.7739693253372044,-2.7739693253372044,-2.7739693253372044,-2.7739693253372044,-2.7739693253372044,-2.7739693253372044,-2.7739693253372044]","[100,100,100,100,100,100,100]","[20,20,20,20,20,20,20]"
3700,3700,0.14595625218716607,0.9,-2.84921116603424,0.0,-3.455285028482993,2.1573856888234264,proximity,0.17050241286351714,0.22374501992031873,22,"[0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9]","[2.1573856888234264,2.1573856888234264,2.1573856888234264,2.1573856888234264,2.1573856888234264,2.1573856888234264,2.1573856888234264,2.1573856888234264,2.1573856888234264,2.1573856888234264,2.1573856888234264,2.1573856888234264,2.1573856888234264,2.1573856888234264,2.1573856888234264,2.1573856888234264,2.1573856888234264,2.1573856888234264,2.1573856888234264,2.1573856888234264,2.1573856888234264,2.1573856888234264]","[0.14595625218716607,0.14595625218716607,0.14595625218716607,0.14595625218716607,0.14595625218716607,0.14595625218716607,0.14595625218716607,0.14595625218716607,0.14595625218716607,0.14595625218716607,0.14595625218716607,0.14595625218716607,0.14595625218716607,0.14595625218716607,0.14595625218716607,0.14595625218716607,0.14595625218716607,0.14595625218716607,0.14595625218716607,0.14595625218716607,0.14595625218716607,0.14595625218716607]","[500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500]","[0.22233067729083666,0.22372509960159362,0.22420318725099603,0.22336653386454183,0.22424302788844622,0.22300796812749005,0.22316733067729083,0.22412350597609562,0.22304780876494024,0.22380478087649402,0.22312749003984064,0.22376494023904384,0.22380478087649402,0.22384462151394424,0.2241633466135458,0.22161354581673307,0.22340637450199205,0.22348605577689243,0.22392430278884462,0.22364541832669324,0.22384462151394424,0.22384462151394424]","[-2.84921116603424,-2.84921116603424,-2.84921116603424,-2.84921116603424,-2.84921116603424,-2.84921116603424,-2.84921116603424,-2.84921116603424,-2.84921116603424,-2.84921116603424,-2.84921116603424,-2.84921116603424,-2.84921116603424,-2.84921116603424,-2.84921116603424,-2.84921116603424,-2.84921116603424,-2.84921116603424,-2.84921116603424,-2.84921116603424,-2.84921116603424,-2.84921116603424]","[200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200]","[proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity]","[0.2034672503984688,0.17387945634416024,0.17207459155339078,0.1570220351227707,0.19206739116212246,0.1639872106597391,0.1424753973908056,0.20805190882400415,0.12683319416512823,0.1448871776137678,0.15186335692652253,0.18603844183522378,0.1689302341736435,0.28450861914588443,0.1289280507113798,0.1751356152058411,0.10473713282351865,0.17596342893692807,0.1602169443425221,0.21362239630079793,0.038467194097245416,0.17308608682918325]","[-4805397103116082307,8194053448648926754,-1980969380357427976,-4880849479534300072,-6575601686876734754,-3169555884596940883,448480739290294390,972252333196916551,235686818832723496,-4281525314875805832,8754797356861602394,-5440965831634998217,190813315138005807,-6980557113599508781,-6946290298992678604,-4178783397021468719,731752036230445954,6188663583194918326,-7242480107101017625,1437475898242540266,-3843863147173695421,-9108357333160707448]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[-3.455285028482993,-3.455285028482993,-3.455285028482993,-3.455285028482993,-3.455285028482993,-3.455285028482993,-3.455285028482993,-3.455285028482993,-3.455285028482993,-3.455285028482993,-3.455285028482993,-3.455285028482993,-3.455285028482993,-3.455285028482993,-3.455285028482993,-3.455285028482993,-3.455285028482993,-3.455285028482993,-3.455285028482993,-3.455285028482993,-3.455285028482993,-3.455285028482993]","[100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100]","[20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20]"
3700,3700,0.18494166866186068,0.9,-2.4177735967933263,0.0,-3.439807663369269,1.6098062609306272,proximity,0.16433650134575756,0.20788844621513947,16,"[0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9]","[1.6098062609306272,1.6098062609306272,1.6098062609306272,1.6098062609306272,1.6098062609306272,1.6098062609306272,1.6098062609306272,1.6098062609306272,1.6098062609306272,1.6098062609306272,1.6098062609306272,1.6098062609306272,1.6098062609306272,1.6098062609306272,1.6098062609306272,1.6098062609306272]","[0.18494166866186068,0.18494166866186068,0.18494166866186068,0.18494166866186068,0.18494166866186068,0.18494166866186068,0.18494166866186068,0.18494166866186068,0.18494166866186068,0.18494166866186068,0.18494166866186068,0.18494166866186068,0.18494166866186068,0.18494166866186068,0.18494166866186068,0.18494166866186068]","[500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500]","[0.206394422310757,0.21077689243027892,0.2060358565737052,0.2104183266932271,0.2030876494023905,0.206792828685259,0.2106175298804781,0.2104183266932271,0.2111354581673307,0.2106573705179283,0.20762948207171317,0.20814741035856574,0.20699203187250997,0.20727091633466138,0.20476095617529882,0.20906374501992034]","[-2.4177735967933263,-2.4177735967933263,-2.4177735967933263,-2.4177735967933263,-2.4177735967933263,-2.4177735967933263,-2.4177735967933263,-2.4177735967933263,-2.4177735967933263,-2.4177735967933263,-2.4177735967933263,-2.4177735967933263,-2.4177735967933263,-2.4177735967933263,-2.4177735967933263,-2.4177735967933263]","[200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200]","[proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity]","[0.198583038046653,0.16750464058401693,0.1611683621074982,0.13590286661567152,0.11183665936370313,0.1558383972667191,0.11282418935938948,0.21257763048054967,0.2417563252921251,0.16014451595755008,0.17832008927383025,0.25702325927294434,0.06138547456331539,0.1543253887719187,0.19066612269028316,0.1705816098493751]","[4049269753306097070,8247637756948987603,-6369040897162469316,-2384475223052962465,-5581168306762597547,-352591117132907299,4586237522007106558,6439699986298413293,8381992176020270189,-3242805324049603478,-8056395355959314285,2694183163150377150,-8424616017436265124,2310413364425044672,-210572195103491708,-448435177223216515]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[-3.439807663369269,-3.439807663369269,-3.439807663369269,-3.439807663369269,-3.439807663369269,-3.439807663369269,-3.439807663369269,-3.439807663369269,-3.439807663369269,-3.439807663369269,-3.439807663369269,-3.439807663369269,-3.439807663369269,-3.439807663369269,-3.439807663369269,-3.439807663369269]","[100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100]","[20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20]"
3700,3700,0.2571578094590174,0.1,-2.2933595283663664,0.0,-4.854577483747297,2.546698474252922,proximity,0.3235769359227878,0.004601593625498196,11,"[0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1]","[2.546698474252922,2.546698474252922,2.546698474252922,2.546698474252922,2.546698474252922,2.546698474252922,2.546698474252922,2.546698474252922,2.546698474252922,2.546698474252922,2.546698474252922]","[0.2571578094590174,0.2571578094590174,0.2571578094590174,0.2571578094590174,0.2571578094590174,0.2571578094590174,0.2571578094590174,0.2571578094590174,0.2571578094590174,0.2571578094590174,0.2571578094590174]","[500,500,500,500,500,500,500,500,500,500,500]","[0.0016932270916334702,0.005159362549800817,0.003207171314740881,0.002689243027888505,0.004601593625498029,0.024402390438246907,0.013007968127490083,0.002290836653386502,0.0067529880478088555,0.015239043824701065,0.004601593625498196]","[-2.2933595283663664,-2.2933595283663664,-2.2933595283663664,-2.2933595283663664,-2.2933595283663664,-2.2933595283663664,-2.2933595283663664,-2.2933595283663664,-2.2933595283663664,-2.2933595283663664,-2.2933595283663664]","[200,200,200,200,200,200,200,200,200,200,200]","[proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity]","[0.05028952870592468,0.3338299064354483,0.3161261426878631,0.37310412734188647,0.34392292615716513,0.18777105969763241,0.3235769359227878,0.14354247039163126,0.32840212020008985,0.12739199321886902,0.3312115351587712]","[-2516204369147091544,-4236860124389725978,145224438045417512,-2020155260139461278,-2482866218505981439,-841870394108462972,-2277740194117600677,-2698336400894415259,-2868758439839585161,-1847828758801730219,2961417591656165772]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[-4.854577483747297,-4.854577483747297,-4.854577483747297,-4.854577483747297,-4.854577483747297,-4.854577483747297,-4.854577483747297,-4.854577483747297,-4.854577483747297,-4.854577483747297,-4.854577483747297]","[100,100,100,100,100,100,100,100,100,100,100]","[20,20,20,20,20,20,20,20,20,20,20]"
